List;ItemType;Context;Idiomaticity;Correctness;Context sentence;Target sentence;CritWord;EndQuestion;CorrectAnswer;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;Laura heeft een blauwe plek opgelopen in de gymzaal.;Ze sloegde waarschuwing in de wind gisteren.;wind;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Op de atletiekbaan verslaat Joris ook zijn grootste tegenstanders.;Hij wil altijd het onderste uit de kan hebben.;kan;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Na alle discussies is Thea het gezeur helemaal zat.;De hele toestand hangt haar behoorlijk de keel uit.;keel;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;Op zijn werk draagt Jochem kleding met strakke lijnen.;Zijn maatpak is donkerblauw met dunne witte strepen erop.;strepen;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;Op veler verzoek hebben de bestuurders het besluit uitgesteld.;De burgemeester schoof het idee op de lange wang vanmiddag.;wang;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;De leerling keek de docent vanaf zijn stoel aan.;Het antwoord op de rekensom klopte als een hut gelukkig.;hut;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;Trots toonde hij het glimmende sieraad onderaan zijn arm.;De baron had een blinkend horloge om zijn buur hangen.;buur;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;De klant had zijn kengetal aan het secretariaat doorgegeven.;De telefoniste pakte de telefoon en toetste zijn handel in.;handel;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Op het gemeentehuis hadden de lijsttrekkers een compromis gesloten.;Na dagen onderhandelen deden beide partijen water bij de wijn gelukkig.;wijn;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Sinds de onverwachte aankondiging greep Gerrits vertrek Karin aan.;De gedachte aan een plotseling afscheid maakte haar van streek laatst.;streek;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;Tegen de avond belde Paulien haar oudere zus op.;Vanwege alle problemen gaf ze haar vriend uiteindelijk de bons daarnet.;bons;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;Chantal heeft een nieuwe auto gekocht bij de autodealer.;Na veel wikken en wegen hakte ze eindelijk de engel door.;engel;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;Naast het gebouw ziet Ramon een oude vriend staan.;Sinds het incident vertrouwt hij de man voor geen vlek meer.;vlek;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;Wegens files maakte ik gebruik van het openbaar vervoer.;De chauffeur stempelde mijn strippenkaart toen ik in de bus stapte.;bus;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;De directrice sprak de leerling in haar kantoortje toe.;Het kind moet nablijven bij het hoofd van de school vanmiddag.;school;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;In de woonkamer schrikte een harde klap Marije op.;Ze hoorde voetstappen en op het raam klonk een kuif daarnet.;kuif;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Op intuïtie schatte Sherlock de situatie precies goed in.;De detective had wel door hoe de vork in de steel zat.;steel;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;In de zomermaanden organiseert iedere hockeyclub wel een toernooi.;Er zijn enkele aanmeldingen, maar het loopt nog niet echt storm hier.;storm;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;In het hotel kust een vrouw haar nieuwe geliefde.;De hardwerkende vuilnisman moet alweer om zes uur aan de slag morgen.;slag;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;In dorpen kopen grote boeren de kleine boerderijen op.;De samenwerking is voordelig, want beide partijen plukken er de spelers van.;spelers;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;In de winter speelde Henk graag op zijn gitaar.;Na jaren van ziekte ging de oude man uiteindelijk de muis uit.;muis;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;Tijdens het eten tikte Ben zijn oudere broer aan.;Met het maken van die grap trapte hij een open vogel in.;vogel;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;Met de camera nam moeder foto's van de koets.;In Drenthe maakte het gezin een rondrit met paard en klant gisteren.;klant;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;Op school konden de kinderen hun enthousiasme niet verbergen.;Na drie weken broeden kwam er een kuiken uit het ei gekropen.;ei;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;Arthur Japin heeft zonder veel inspanningen talloze boeken geschreven.;En alweer schudt de schrijver moeiteloos een nieuw verhaal uit zijn gids vanavond.;gids;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;Op het dorpsplein bespreken de buurtbewoners het dagelijks nieuws.;Met een crisis als deze gaat de hele economie naar de haaien binnenkort.;haaien;;;;;;;;;;;;;;;;;;;;
